id,day,type,timestamp,PID,trip start,trip end,travel_time,dist_per_trip,n_ACC,n_BRK,n_HTURN,speed_mean,speed_sd,speed_max,rpm_mean,rpm_sd,rpm_max,acc_value,brk_value,hturn_value,egl_mean,egl_sd,egl_max,air_mean,air_sd,air_max,fuel_mean,fuel_sd,fuel_max,thro_mean,thro_sd,thro_max,trip start formatted,trip end formatted,count_per_type
1010,20210731,smoking,2021-07-31 19:22:40,1010,2021-07-31 08:00:00,2021-07-31 08:06:00,367.703866,3.087037,2,4,5,50.4,7.368853,57,1542.1,761.356635,2717.5,0.446955,-0.377622,0.431627,40.366278,23.587299,99.607843,28.0,0.0,28,81.633987,0.728323,82.745098,27.712418,29.831429,88.235294,2021-07-31 08:00:00,2021-07-31 08:06:00,0
1010,20210731,smoking,2021-07-31 19:22:40,1010,2021-07-31 10:05:00,2021-07-31 10:19:00,851.647834,3.63604,1,0,1,33.5,12.849124,58,1094.0,390.368096,2163.5,0.313134,,0.315874,32.827216,10.873349,99.607843,32.513889,0.671199,33,80.697168,0.727647,81.176471,15.143288,2.816706,22.352941,2021-07-31 10:05:00,2021-07-31 10:19:00,0
1010,20210731,smoking,2021-07-31 19:22:40,1010,2021-07-31 18:39:00,2021-07-31 18:56:00,1045.825497,3.367204,1,1,1,32.333333,24.254209,76,1049.40625,183.434023,1447.5,0.312195,-0.387192,0.343408,35.505279,11.022839,96.862745,33.296703,0.52693,35,79.207067,0.560655,79.607843,14.705882,1.403023,18.823529,2021-07-31 18:39:00,2021-07-31 18:56:00,31
1010,20210731,smoking,2021-07-31 19:22:40,1010,2021-07-31 19:20:00,2021-07-31 19:30:00,603.111196,3.175608,1,1,3,43.25,27.801379,84,1082.375,302.113951,1571.5,0.302473,-0.315541,0.327325,38.443627,14.822499,98.039216,35.191489,1.752493,39,78.706717,0.503502,79.607843,15.833333,3.058806,22.745098,2021-07-31 19:20:00,2021-07-31 19:30:00,24
1010,20210731,crossinglane,2021-07-31 18:41:37,1010,2021-07-31 08:00:00,2021-07-31 08:06:00,367.703866,3.087037,2,4,5,50.4,7.368853,57,1542.1,761.356635,2717.5,0.446955,-0.377622,0.431627,40.366278,23.587299,99.607843,28.0,0.0,28,81.633987,0.728323,82.745098,27.712418,29.831429,88.235294,2021-07-31 08:00:00,2021-07-31 08:06:00,0
1010,20210731,crossinglane,2021-07-31 18:41:37,1010,2021-07-31 10:05:00,2021-07-31 10:19:00,851.647834,3.63604,1,0,1,33.5,12.849124,58,1094.0,390.368096,2163.5,0.313134,,0.315874,32.827216,10.873349,99.607843,32.513889,0.671199,33,80.697168,0.727647,81.176471,15.143288,2.816706,22.352941,2021-07-31 10:05:00,2021-07-31 10:19:00,0
1010,20210731,crossinglane,2021-07-31 18:41:37,1010,2021-07-31 18:39:00,2021-07-31 18:56:00,1045.825497,3.367204,1,1,1,32.333333,24.254209,76,1049.40625,183.434023,1447.5,0.312195,-0.387192,0.343408,35.505279,11.022839,96.862745,33.296703,0.52693,35,79.207067,0.560655,79.607843,14.705882,1.403023,18.823529,2021-07-31 18:39:00,2021-07-31 18:56:00,31
1010,20210731,crossinglane,2021-07-31 18:41:37,1010,2021-07-31 19:20:00,2021-07-31 19:30:00,603.111196,3.175608,1,1,3,43.25,27.801379,84,1082.375,302.113951,1571.5,0.302473,-0.315541,0.327325,38.443627,14.822499,98.039216,35.191489,1.752493,39,78.706717,0.503502,79.607843,15.833333,3.058806,22.745098,2021-07-31 19:20:00,2021-07-31 19:30:00,24
1010,20210731,crossinglane,2021-07-31 18:45:56,1010,2021-07-31 08:00:00,2021-07-31 08:06:00,367.703866,3.087037,2,4,5,50.4,7.368853,57,1542.1,761.356635,2717.5,0.446955,-0.377622,0.431627,40.366278,23.587299,99.607843,28.0,0.0,28,81.633987,0.728323,82.745098,27.712418,29.831429,88.235294,2021-07-31 08:00:00,2021-07-31 08:06:00,0
1010,20210731,crossinglane,2021-07-31 18:45:56,1010,2021-07-31 10:05:00,2021-07-31 10:19:00,851.647834,3.63604,1,0,1,33.5,12.849124,58,1094.0,390.368096,2163.5,0.313134,,0.315874,32.827216,10.873349,99.607843,32.513889,0.671199,33,80.697168,0.727647,81.176471,15.143288,2.816706,22.352941,2021-07-31 10:05:00,2021-07-31 10:19:00,0
1010,20210731,crossinglane,2021-07-31 18:45:56,1010,2021-07-31 18:39:00,2021-07-31 18:56:00,1045.825497,3.367204,1,1,1,32.333333,24.254209,76,1049.40625,183.434023,1447.5,0.312195,-0.387192,0.343408,35.505279,11.022839,96.862745,33.296703,0.52693,35,79.207067,0.560655,79.607843,14.705882,1.403023,18.823529,2021-07-31 18:39:00,2021-07-31 18:56:00,31
1010,20210731,crossinglane,2021-07-31 18:45:56,1010,2021-07-31 19:20:00,2021-07-31 19:30:00,603.111196,3.175608,1,1,3,43.25,27.801379,84,1082.375,302.113951,1571.5,0.302473,-0.315541,0.327325,38.443627,14.822499,98.039216,35.191489,1.752493,39,78.706717,0.503502,79.607843,15.833333,3.058806,22.745098,2021-07-31 19:20:00,2021-07-31 19:30:00,24
1010,20210731,crossinglane,2021-07-31 18:52:15,1010,2021-07-31 08:00:00,2021-07-31 08:06:00,367.703866,3.087037,2,4,5,50.4,7.368853,57,1542.1,761.356635,2717.5,0.446955,-0.377622,0.431627,40.366278,23.587299,99.607843,28.0,0.0,28,81.633987,0.728323,82.745098,27.712418,29.831429,88.235294,2021-07-31 08:00:00,2021-07-31 08:06:00,0
1010,20210731,crossinglane,2021-07-31 18:52:15,1010,2021-07-31 10:05:00,2021-07-31 10:19:00,851.647834,3.63604,1,0,1,33.5,12.849124,58,1094.0,390.368096,2163.5,0.313134,,0.315874,32.827216,10.873349,99.607843,32.513889,0.671199,33,80.697168,0.727647,81.176471,15.143288,2.816706,22.352941,2021-07-31 10:05:00,2021-07-31 10:19:00,0
1010,20210731,crossinglane,2021-07-31 18:52:15,1010,2021-07-31 18:39:00,2021-07-31 18:56:00,1045.825497,3.367204,1,1,1,32.333333,24.254209,76,1049.40625,183.434023,1447.5,0.312195,-0.387192,0.343408,35.505279,11.022839,96.862745,33.296703,0.52693,35,79.207067,0.560655,79.607843,14.705882,1.403023,18.823529,2021-07-31 18:39:00,2021-07-31 18:56:00,31
